campaign_id,name,brand,year,award_show,award_category,industry,extraction_timestamp,award_prestige_score,award_status_binary,award_potential_score,award_hierarchy_level,time_since_award_years,csr_presence_binary,csr_category,csr_message_prominence,csr_authenticity_score,purpose_driven_score,visual_complexity_score,edge_density,spatial_frequency,color_palette_diversity,dominant_color_hue,face_presence_binary,brand_asset_visibility,logo_size_ratio,aesthetic_score,memorability_score,distinctiveness_score,message_sentiment,message_urgency,emotional_tone_score,message_clarity,readability_score,cta_presence,headline_strength,value_proposition_clarity,emotional_words_count,innovation_level,technology_integration,creative_distinctiveness,execution_quality,originality_score,cultural_relevance_score,cultural_authenticity,localization_depth,cultural_symbol_count,trend_alignment,zeitgeist_relevance,campaign_duration_days,budget_allocated,channel_mix_diversity,targeting_precision,message_consistency,strategic_clarity,competitive_pressure,market_saturation,creative_effectiveness_score,roi_multiplier,brand_lift_percentage,engagement_rate,purchase_intent_lift,binary_success,has_gdrive_assets,gdrive_folder_id,source,data_completeness,country,region,agency,sales_lift_percentage,market_share_gain,has_humor,has_emotion,creative_concept,primary_channel,channel_diversity,channel_mix,has_tech_innovation,technology_type,total_awards,has_warc_award,has_cannes_award,warc_case_id,warc_file_id,original_case_study,scoring_method,scoring_date,ces_normalized,rescaling_method,rescaling_date
REAL_CALLA_Calla_Baho,Calla Bahopocalypse,Calla,2025,KIDLAT,Late Bird,Beauty & Fashion,2025-07-11T16:13:31.814474,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,1.0,0.257,0.768,0.782,329.6,1.0,0.947,0.056,0.631,0.471,0.825,0.235,0.336,0.3,0.643,43.1,1.0,0.6,0.828,0.0,0.3,0.3,0.533,0.819,0.478,0.665,0.7,regional,0.0,0.799,0.643,102.0,55693.5,0.326,0.887,0.742,0.596,0.39,0.744,55.3,2.66,21.1,0.432,3.7,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.9687517068696535,balanced,2025-07-11T17:56:28.842777
REAL_CHAMPION_Champion_P,Champion Price Drop,Champion,2025,KIDLAT,Late Bird,Retail,2025-07-11T16:13:31.814790,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.986,0.405,0.549,0.322,6.4,1.0,0.82,0.067,0.669,0.899,0.581,0.573,0.596,0.3,0.659,42.9,1.0,0.7,0.651,0.0,0.3,0.3,0.784,0.708,0.556,0.721,0.7,regional,0.0,0.734,0.795,85.0,228814.09,0.653,0.626,0.81,0.824,0.618,0.448,58.0,2.74,17.0,0.448,6.3,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.6996691411155866,balanced,2025-07-11T17:56:28.842777
REAL_KIDLAT_Kidlat_Hyp,Kidlat Hypercreativity,Kidlat,2025,KIDLAT,Late Bird,Creative Services,2025-07-11T16:13:31.814867,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.72,0.246,0.747,0.378,346.4,1.0,0.68,0.064,0.707,0.719,0.605,0.699,0.541,0.3,0.88,47.6,1.0,0.6,0.526,0.0,0.45,0.45,0.715,0.678,0.564,0.689,0.7,regional,0.0,0.513,0.402,166.0,179407.98,0.475,0.555,0.838,0.561,0.494,0.408,61.4,2.84,19.7,0.468,4.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.35977537384729147,balanced,2025-07-11T17:56:28.842777
REAL_NISSAN_Nissan_For,Nissan Formula E Digital,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815079,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.861,0.217,0.599,0.764,19.7,1.0,0.729,0.125,0.682,0.42,0.667,0.532,0.623,0.4,0.646,65.5,0.0,0.8,0.669,1.0,0.6,0.6,0.746,0.727,0.688,0.589,0.7,regional,0.0,0.779,0.504,137.0,23240.69,0.495,0.505,0.713,0.685,0.371,0.6,61.1,2.83,18.2,0.467,5.6,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.3880998544529822,balanced,2025-07-11T17:56:28.842777
REAL_NISSAN_Nissan_Ele,Nissan Electric Innovation,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815230,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.889,0.561,0.71,0.427,17.4,1.0,0.861,0.073,0.741,0.882,0.774,0.486,0.597,0.5,0.719,60.9,1.0,0.7,0.506,2.0,0.6,0.6,0.547,0.771,0.628,0.757,0.7,regional,0.0,0.537,0.742,61.0,57461.21,0.378,0.698,0.748,0.874,0.444,0.616,71.3,3.14,22.5,0.528,8.0,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,0.6315814473519032,balanced,2025-07-11T17:56:28.842777
REAL_MCDONALD'S_MCDONALD'S,MCDONALD'S LOVE KO TOK,McDonald's,2025,KIDLAT,Dead Bird,Food & Beverage,2025-07-11T16:13:31.815307,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.661,0.204,0.659,0.605,216.6,1.0,0.826,0.056,0.732,0.417,0.576,0.299,0.675,0.4,0.763,66.3,1.0,0.8,0.879,1.0,0.3,0.3,0.664,0.736,0.764,0.8,0.85,local,2.0,0.749,0.44,95.0,173954.53,0.635,0.623,0.731,0.795,0.642,0.519,51.3,2.54,15.3,0.408,3.3,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-1.365294435349331,balanced,2025-07-11T17:56:28.842777
REAL_MAARTE_FAIR_MAARTE_FAI,MAARTE FAIR: FAB FINDS,Maarte Fair,2025,KIDLAT,Dead Bird,Events & Entertainment,2025-07-11T16:13:31.815383,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.438,0.58,0.768,0.489,268.4,0.0,0.664,0.058,0.544,0.871,0.759,0.6,0.318,0.5,0.761,61.7,1.0,0.8,0.833,2.0,0.45,0.45,0.87,0.865,0.775,0.8,0.85,local,1.0,0.575,0.767,158.0,225378.57,0.678,0.781,0.643,0.828,0.746,0.626,47.9,2.44,12.4,0.387,3.2,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-1.7051882026176273,balanced,2025-07-11T17:56:28.842777
REAL_ARTICULATE_ART_CULATE,ART_CULATE LOGO,Articulate,2025,KIDLAT,Dead Bird,Creative Services,2025-07-11T16:13:31.815459,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.784,0.474,0.366,0.884,248.9,1.0,0.621,0.07,0.797,0.478,0.857,0.297,0.747,0.4,0.882,45.3,1.0,0.6,0.612,1.0,0.3,0.3,0.891,0.684,0.603,0.776,0.7,regional,0.0,0.776,0.38,70.0,36307.33,0.494,0.665,0.656,0.635,0.364,0.522,53.9,2.62,13.1,0.423,4.6,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-1.11037410989811,balanced,2025-07-11T17:56:28.842777
REAL_AOY_AOY_2024_F,AOY 2024 Forging Excellence,AOY,2025,KIDLAT,Dead Bird,Awards & Recognition,2025-07-11T16:13:31.815535,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.782,0.711,0.755,0.348,45.6,0.0,0.618,0.068,0.748,0.83,0.586,0.563,0.428,0.4,0.717,45.1,1.0,0.8,0.656,1.0,0.3,0.3,0.639,0.686,0.729,0.725,0.7,regional,0.0,0.791,0.548,38.0,24488.24,0.349,0.885,0.826,0.655,0.379,0.496,51.8,2.55,20.5,0.411,4.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-1.3228077144407946,balanced,2025-07-11T17:56:28.842777
REAL_ARTICULATE_Articulate,Articulate PH Logo Design,Articulate,2024,Cannes Lions,Design,Creative Services,2025-07-11T16:13:31.815844,0.769,1,1.0,1.0,1.0,0,None,0.0,0.0,0.0,0.647,0.463,0.485,0.347,326.2,1.0,0.905,0.126,0.524,0.541,0.774,0.34,0.683,0.4,0.895,47.6,1.0,0.8,0.525,1.0,0.3,0.3,0.699,0.676,0.64,0.761,0.7,regional,0.0,0.596,0.798,161.0,99307.26,0.316,0.62,0.628,0.606,0.656,0.469,67.2,3.02,21.0,0.503,7.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,0.22087647856938092,balanced,2025-07-11T17:56:28.842777
REAL_HEAVEN_PALETTE_HEAVEN_PAL,HEAVEN PALETTE,Heaven Palette,2024,Cannes Lions,Creative,Beauty & Fashion,2025-07-11T16:13:31.816067,0.814,1,1.0,1.0,1.0,0,None,0.0,0.0,0.0,0.757,0.246,0.323,0.302,107.5,1.0,0.938,0.088,0.563,0.71,0.892,0.532,0.656,0.3,0.818,65.4,1.0,0.6,0.897,0.0,0.3,0.3,0.726,0.737,0.9,0.738,0.7,regional,0.0,0.735,0.322,61.0,318839.42,0.492,0.673,0.732,0.877,0.454,0.588,72.9,3.19,20.7,0.537,6.4,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,0.7873660906832065,balanced,2025-07-11T17:56:28.842777
REAL_WASHTAG_WASHTAG,WASHTAG,Washtag,2024,Cannes Lions,Creative,Home & Garden,2025-07-11T16:13:31.816140,0.814,1,1.0,1.0,1.0,0,None,0.0,0.0,0.0,1.0,0.439,0.637,0.651,141.9,0.0,0.802,0.078,0.666,0.513,0.599,0.679,0.303,0.3,0.859,44.9,1.0,0.5,0.662,0.0,0.3,0.3,0.643,0.78,0.533,0.759,0.7,regional,0.0,0.577,0.529,100.0,108105.75,0.593,0.893,0.797,0.577,0.459,0.654,75.6,3.27,25.9,0.554,5.9,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,1.0564486564372724,balanced,2025-07-11T17:56:28.842777
REAL_SG_ENABLE_#Frequentl,#FrequentlyAwkwardQuestions (FAQ),SG Enable,2024,AOY,Digital Excellence,Social Cause,2025-07-11T16:13:31.816214,0.677,1,0.948,2.0,1.0,1,Diversity,0.93,0.9,0.837,0.51,0.337,0.483,0.75,98.1,1.0,0.632,0.14,0.509,0.465,0.852,0.275,0.6,0.3,0.696,56.2,1.0,0.6,0.654,0.0,0.3,0.3,0.611,0.694,0.86,0.769,0.7,regional,0.0,0.775,0.659,44.0,22843.21,0.597,0.761,0.734,0.655,0.333,0.475,62.1,2.86,16.3,0.473,4.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.28896417233306326,balanced,2025-07-11T17:56:28.842777
REAL_MCDONALD'S_McDonald's,McDonald's Lovin' All,McDonald's,2024,AOY,Digital Excellence,Food & Beverage,2025-07-11T16:13:31.816290,0.677,1,0.948,2.0,1.0,0,None,0.0,0.0,0.0,0.626,0.348,0.613,0.48,78.2,1.0,0.681,0.089,0.617,0.424,0.558,0.598,0.382,0.3,0.9,65.4,1.0,0.7,0.715,0.0,0.3,0.3,0.61,0.807,0.473,0.67,0.7,regional,0.0,0.54,0.69,32.0,64637.44,0.3,0.662,0.608,0.765,0.708,0.498,61.4,2.84,19.5,0.468,7.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.35977537384729147,balanced,2025-07-11T17:56:28.842777
REAL_SPOTIFY_Real_Data_,Real Data Sightings,Spotify,2024,AOY,Digital Innovation,Technology,2025-07-11T16:13:31.816363,0.654,1,0.922,2.0,1.0,0,None,0.0,0.0,0.0,1.0,0.257,0.729,0.839,355.7,1.0,0.944,0.057,0.639,0.71,0.898,0.501,0.336,0.3,0.675,43.0,1.0,0.7,0.613,0.0,0.45,0.45,0.626,0.64,0.467,0.685,0.7,regional,0.0,0.543,0.32,94.0,47424.39,0.629,0.858,0.865,0.813,0.765,0.453,67.5,3.03,18.2,0.505,5.9,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,0.2492009591750706,balanced,2025-07-11T17:56:28.842777
REAL_BAHAY_TULUYAN_Emoji_Frie,Emoji Friends,Bahay Tuluyan,2024,AOY,Digital Innovation,Non-profit,2025-07-11T16:13:31.816437,0.654,1,0.922,2.0,1.0,1,Community,0.85,0.88,0.748,0.56,0.205,0.326,0.376,252.6,1.0,0.889,0.064,0.725,0.444,0.803,0.515,0.71,0.3,0.74,58.2,1.0,0.6,0.754,0.0,0.3,0.3,0.835,0.844,0.769,0.716,0.7,regional,0.0,0.559,0.56,46.0,127233.44,0.384,0.516,0.637,0.714,0.449,0.656,59.6,2.79,21.0,0.458,8.3,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-0.5438844977842844,balanced,2025-07-11T17:56:28.842777
REAL_OISHI_HOT_HIPON,HOT HIPON,Oishi,2020,Creative Impact Awards,Social & Influencer,Food & Beverage,2025-07-11T16:13:31.816513,0.364,1,0.8,2.0,5.0,0,None,0.0,0.0,0.0,0.752,0.682,0.672,0.691,28.8,1.0,0.664,0.086,0.521,0.839,0.847,0.413,0.642,0.3,0.82,44.4,1.0,0.6,0.692,0.0,0.3,0.3,0.652,0.78,0.737,0.8,0.85,local,1.0,0.424,0.772,62.0,38051.62,0.401,0.797,0.638,0.521,0.709,0.591,52.2,2.57,14.7,0.413,6.2,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,,,,,-1.280320993532258,balanced,2025-07-11T17:56:28.842777
WARC_Decathlon_2024,The Breakaway: The first eCycling team for prisoners,Decathlon,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,77.6,3.33,22.5,0.566,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,[],0.0,None,0.0,1.0,0.0,warc_001,149664_Decathlon_The_Breakaway_The_firs.pdf,"{'case_id': 'warc_001', 'warc_file_id': '149664_Decathlon_The_Breakaway_The_firs.pdf', 'campaign_identification': {'campaign_name': 'The Breakaway: The first eCycling team for prisoners', 'brand': 'Decathlon', 'parent_company': 'Decathlon SA', 'publication_year': 2023, 'warc_source': 'WARC Effective 100', 'industry_sector': 'Sports/Retail', 'sub_category': 'Sports Equipment & Apparel'}, 'market_context': {'primary_market': 'Belgium', 'market_type': 'Developed', 'target_audience': 'General public + cycling community', 'audience_demographics': {'primary': 'Adults interested in sports and social causes', 'secondary': 'Cycling enthusiasts', 'tertiary': 'Prison reform advocates'}}, 'business_challenge': {'primary_challenge': ""Demonstrate how sport can change people's lives"", 'market_situation': 'Need to showcase transformative power of sport', 'competitive_context': 'Sports brands competing on purpose-driven messaging'}, 'campaign_objectives': {'primary_objective': ""Show sport's transformative power for prisoners"", 'secondary_objectives': ['Raise awareness about prison rehabilitation', 'Generate positive brand associations', 'Create earned media attention']}, 'strategy_execution': {'core_strategy': 'First eCycling team for prisoners via Zwift platform', 'innovation_factor': 'First-of-kind prisoner eCycling team', 'execution_elements': ['Six prisoners chosen to ride online with other cyclists', 'Launch film introduction', 'Live Facebook broadcast of race', 'Podcast showing prisoner transformation stories']}, 'creative_elements': {'content_types': ['Video', 'Podcast', 'Live Stream'], 'emotional_appeal': 'High - transformation stories', 'visual_style': 'Documentary/Reality', 'messaging_tone': 'Inspirational, authentic', 'brand_integration': 'Moderate - focus on purpose over product'}, 'channels_media': {'primary_channels': ['Facebook Live', 'Podcast', 'Launch Film'], 'media_mix': 'Digital-first with earned media amplification', 'paid_owned_earned': {'paid': 'Low', 'owned': 'Medium', 'earned': 'High'}}, 'technology_integration': {'tech_enabled': True, 'platforms_used': ['Zwift platform'], 'innovation_level': 'High - virtual cycling integration', 'digital_sophistication': 'Medium-High'}, 'csr_purpose_elements': {'csr_integrated': True, 'csr_themes': ['Social rehabilitation', 'Prison reform', 'Sports inclusion'], 'authenticity_level': 'High', 'purpose_prominence': 'Primary campaign driver'}, 'performance_metrics': {'reach_metrics': {'total_reach': '15+ million people', 'earned_media_value': '€1.3 million'}, 'engagement_metrics': {'social_engagement': 'High', 'media_mentions': 'Significant'}, 'business_impact': {'brand_awareness_lift': 'Not specified', 'sales_impact': 'Not specified', 'roi_reported': 'Not specified'}}, 'awards_recognition': {'warc_effective_100': True, 'other_awards': 'Not specified', 'industry_recognition': 'Yes - featured in WARC'}, 'agency_credits': {'creative_agency': 'BBDO Brussels', 'media_agency': 'Semetis Brussels', 'key_personnel': ['Jan Dejonghe - Creative Director', 'Debby De Ridder - Copywriter', 'Frederik Clarysse, Tom Jacobs - Creative']}, 'cultural_relevance': {'cultural_context': 'High - prison rehabilitation', 'local_adaptation': 'Medium', 'global_scalability': 'High'}}",WARC_feature_extraction,2025-07-11T17:27:43.951774,1.2573129743173526,balanced,2025-07-11T17:56:28.842777
