campaign_id,name,brand,year,award_show,award_category,industry,extraction_timestamp,award_prestige_score,award_status_binary,award_potential_score,award_hierarchy_level,time_since_award_years,csr_presence_binary,csr_category,csr_message_prominence,csr_authenticity_score,purpose_driven_score,visual_complexity_score,edge_density,spatial_frequency,color_palette_diversity,dominant_color_hue,face_presence_binary,brand_asset_visibility,logo_size_ratio,aesthetic_score,memorability_score,distinctiveness_score,message_sentiment,message_urgency,emotional_tone_score,message_clarity,readability_score,cta_presence,headline_strength,value_proposition_clarity,emotional_words_count,innovation_level,technology_integration,creative_distinctiveness,execution_quality,originality_score,cultural_relevance_score,cultural_authenticity,localization_depth,cultural_symbol_count,trend_alignment,zeitgeist_relevance,campaign_duration_days,budget_allocated,channel_mix_diversity,targeting_precision,message_consistency,strategic_clarity,competitive_pressure,market_saturation,creative_effectiveness_score,roi_multiplier,brand_lift_percentage,engagement_rate,purchase_intent_lift,binary_success,has_gdrive_assets,gdrive_folder_id,source,data_completeness,country,region,agency,sales_lift_percentage,market_share_gain,has_humor,has_emotion,creative_concept,primary_channel,channel_diversity,channel_mix,has_tech_innovation,technology_type,total_awards,has_warc_award,has_cannes_award,warc_case_id,warc_file_id
REAL_CHAMPION_Champion_P,Champion Price Drop,Champion,2025,KIDLAT,Late Bird,Retail,2025-07-11T16:13:31.814790,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.986,0.405,0.549,0.322,6.4,1.0,0.82,0.067,0.669,0.899,0.581,0.573,0.596,0.3,0.659,42.9,1.0,0.7,0.651,0.0,0.3,0.3,0.784,0.708,0.556,0.721,0.7,regional,0.0,0.734,0.795,85.0,228814.09,0.653,0.626,0.81,0.824,0.618,0.448,58.4,2.46,19.1,0.489,6.3,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_KIDLAT_Kidlat_Hyp,Kidlat Hypercreativity,Kidlat,2025,KIDLAT,Late Bird,Creative Services,2025-07-11T16:13:31.814867,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.72,0.246,0.747,0.378,346.4,1.0,0.68,0.064,0.707,0.719,0.605,0.699,0.541,0.3,0.88,47.6,1.0,0.6,0.526,0.0,0.45,0.45,0.715,0.678,0.564,0.689,0.7,regional,0.0,0.513,0.402,166.0,179407.98,0.475,0.555,0.838,0.561,0.494,0.408,60.8,2.52,17.7,0.505,4.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_LOST_CONVERSATIONS_Lost_Conve,Lost Conversations Materials,Lost Conversations,2025,KIDLAT,Late Bird,Social Cause,2025-07-11T16:13:31.814945,0.52,1,0.72,2.0,0.0,1,Social Justice,0.88,0.85,0.748,0.712,0.243,0.799,0.772,158.3,1.0,0.737,0.109,0.892,0.476,0.723,0.404,0.413,0.4,0.851,71.9,1.0,0.7,0.696,1.0,0.3,0.3,0.871,0.78,0.592,0.637,0.7,regional,0.0,0.702,0.687,61.0,203785.95,0.609,0.524,0.845,0.659,0.624,0.753,60.5,2.51,16.2,0.503,7.1,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_NISSAN_Nissan_For,Nissan Formula E Digital,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815079,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.861,0.217,0.599,0.764,19.7,1.0,0.729,0.125,0.682,0.42,0.667,0.532,0.623,0.4,0.646,65.5,0.0,0.8,0.669,1.0,0.6,0.6,0.746,0.727,0.688,0.589,0.7,regional,0.0,0.779,0.504,137.0,23240.69,0.495,0.505,0.713,0.685,0.371,0.6,60.6,2.52,17.9,0.504,5.6,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_NISSAN_Nissan_Ele,Nissan Electric Innovation,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815230,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.889,0.561,0.71,0.427,17.4,1.0,0.861,0.073,0.741,0.882,0.774,0.486,0.597,0.5,0.719,60.9,1.0,0.7,0.506,2.0,0.6,0.6,0.547,0.771,0.628,0.757,0.7,regional,0.0,0.537,0.742,61.0,57461.21,0.378,0.698,0.748,0.874,0.444,0.616,67.8,2.7,18.7,0.552,8.0,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_MCDONALD'S_MCDONALD'S,MCDONALD'S LOVE KO TOK,McDonald's,2025,KIDLAT,Dead Bird,Food & Beverage,2025-07-11T16:13:31.815307,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.661,0.204,0.659,0.605,216.6,1.0,0.826,0.056,0.732,0.417,0.576,0.299,0.675,0.4,0.763,66.3,1.0,0.8,0.879,1.0,0.3,0.3,0.664,0.736,0.764,0.8,0.85,local,2.0,0.749,0.44,95.0,173954.53,0.635,0.623,0.731,0.795,0.642,0.519,53.7,2.34,15.1,0.458,3.3,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_MAARTE_FAIR_MAARTE_FAI,MAARTE FAIR: FAB FINDS,Maarte Fair,2025,KIDLAT,Dead Bird,Events & Entertainment,2025-07-11T16:13:31.815383,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.438,0.58,0.768,0.489,268.4,0.0,0.664,0.058,0.544,0.871,0.759,0.6,0.318,0.5,0.761,61.7,1.0,0.8,0.833,2.0,0.45,0.45,0.87,0.865,0.775,0.8,0.85,local,1.0,0.575,0.767,158.0,225378.57,0.678,0.781,0.643,0.828,0.746,0.626,51.3,2.28,15.7,0.442,3.2,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_ARTICULATE_ART_CULATE,ART_CULATE LOGO,Articulate,2025,KIDLAT,Dead Bird,Creative Services,2025-07-11T16:13:31.815459,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.784,0.474,0.366,0.884,248.9,1.0,0.621,0.07,0.797,0.478,0.857,0.297,0.747,0.4,0.882,45.3,1.0,0.6,0.612,1.0,0.3,0.3,0.891,0.684,0.603,0.776,0.7,regional,0.0,0.776,0.38,70.0,36307.33,0.494,0.665,0.656,0.635,0.364,0.522,55.5,2.39,16.5,0.47,4.6,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_AOY_AOY_2024_F,AOY 2024 Forging Excellence,AOY,2025,KIDLAT,Dead Bird,Awards & Recognition,2025-07-11T16:13:31.815535,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.782,0.711,0.755,0.348,45.6,0.0,0.618,0.068,0.748,0.83,0.586,0.563,0.428,0.4,0.717,45.1,1.0,0.8,0.656,1.0,0.3,0.3,0.639,0.686,0.729,0.725,0.7,regional,0.0,0.791,0.548,38.0,24488.24,0.349,0.885,0.826,0.655,0.379,0.496,54.0,2.35,14.2,0.46,4.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_OISHI_OISHI_FACE,OISHI FACEPACK,Oishi,2025,KIDLAT,Dead Bird,Food & Beverage,2025-07-11T16:13:31.815612,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.818,0.491,0.767,0.446,262.0,1.0,0.999,0.055,0.882,0.688,0.5,0.767,0.401,0.3,0.766,66.7,1.0,0.6,0.773,0.0,0.3,0.3,0.589,0.693,0.636,0.706,0.7,regional,0.0,0.589,0.583,170.0,39499.85,0.445,0.793,0.819,0.638,0.471,0.791,55.2,2.38,15.1,0.468,5.2,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_PRODUCTS_OF_PEACE_PRODUCTS_O,PRODUCTS OF PEACE LOGO,Products of Peace,2025,KIDLAT,Dead Bird,Social Cause,2025-07-11T16:13:31.815690,0.4,1,0.6,2.0,0.0,1,Social Justice,0.95,0.9,0.855,0.6,0.506,0.378,0.757,232.4,1.0,0.776,0.103,0.732,0.825,0.757,0.691,0.306,0.4,0.751,52.8,0.0,0.8,0.835,1.0,0.3,0.3,0.795,0.709,0.583,0.764,0.7,regional,0.0,0.491,0.421,130.0,100329.54,0.398,0.815,0.659,0.538,0.335,0.674,55.4,2.38,16.4,0.469,6.4,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_NISSAN_NISSAN_KIC,NISSAN KICKS FORMULA E,Nissan,2025,KIDLAT,Dead Bird,Automotive,2025-07-11T16:13:31.815768,0.4,1,0.6,2.0,0.0,0,None,0.0,0.0,0.0,0.707,0.513,0.424,0.362,224.7,1.0,0.688,0.07,0.587,0.833,0.548,0.742,0.462,0.3,0.832,51.0,1.0,0.8,0.834,0.0,0.45,0.45,0.894,0.697,0.477,0.712,0.7,regional,0.0,0.756,0.791,142.0,195003.34,0.686,0.503,0.75,0.801,0.315,0.512,55.7,2.39,18.1,0.472,5.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_ARTICULATE_Articulate,Articulate PH Logo Design,Articulate,2024,Cannes Lions,Design,Creative Services,2025-07-11T16:13:31.815844,0.769,1,1.0,1.0,1.0,0,None,0.0,0.0,0.0,0.647,0.463,0.485,0.347,326.2,1.0,0.905,0.126,0.524,0.541,0.774,0.34,0.683,0.4,0.895,47.6,1.0,0.8,0.525,1.0,0.3,0.3,0.699,0.676,0.64,0.761,0.7,regional,0.0,0.596,0.798,161.0,99307.26,0.316,0.62,0.628,0.606,0.656,0.469,64.9,2.62,18.3,0.532,7.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_LOST_CONVERSATIONS_Lost_Conve,Lost Conversations,Lost Conversations,2024,Cannes Lions,Creative,Social Cause,2025-07-11T16:13:31.815920,0.814,1,1.0,1.0,1.0,1,Social Justice,0.88,0.85,0.748,0.862,0.451,0.375,0.426,224.0,1.0,0.802,0.138,0.813,0.511,0.589,0.544,0.731,0.4,0.826,44.2,1.0,0.6,0.631,1.0,0.3,0.3,0.552,0.815,0.421,0.727,0.7,regional,0.0,0.599,0.509,113.0,147414.06,0.459,0.786,0.854,0.503,0.745,0.459,73.8,2.84,23.6,0.592,8.0,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_PRODUCTS_OF_PEACE_Products_o,Products of Peace,Products of Peace,2024,Cannes Lions,Creative,Social Cause,2025-07-11T16:13:31.815993,0.814,1,1.0,1.0,1.0,1,Social Justice,0.95,0.9,0.855,0.775,0.703,0.671,0.895,51.7,1.0,0.626,0.069,0.843,0.829,0.74,0.275,0.733,0.4,0.645,71.6,1.0,0.7,0.765,1.0,0.3,0.3,0.623,0.849,0.877,0.711,0.7,regional,0.0,0.558,0.798,63.0,46747.14,0.489,0.626,0.891,0.899,0.327,0.509,68.0,2.7,21.8,0.553,7.1,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_HEAVEN_PALETTE_HEAVEN_PAL,HEAVEN PALETTE,Heaven Palette,2024,Cannes Lions,Creative,Beauty & Fashion,2025-07-11T16:13:31.816067,0.814,1,1.0,1.0,1.0,0,None,0.0,0.0,0.0,0.757,0.246,0.323,0.302,107.5,1.0,0.938,0.088,0.563,0.71,0.892,0.532,0.656,0.3,0.818,65.4,1.0,0.6,0.897,0.0,0.3,0.3,0.726,0.737,0.9,0.738,0.7,regional,0.0,0.735,0.322,61.0,318839.42,0.492,0.673,0.732,0.877,0.454,0.588,68.9,2.72,22.0,0.559,6.4,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_WASHTAG_WASHTAG,WASHTAG,Washtag,2024,Cannes Lions,Creative,Home & Garden,2025-07-11T16:13:31.816140,0.814,1,1.0,1.0,1.0,0,None,0.0,0.0,0.0,1.0,0.439,0.637,0.651,141.9,0.0,0.802,0.078,0.666,0.513,0.599,0.679,0.303,0.3,0.859,44.9,1.0,0.5,0.662,0.0,0.3,0.3,0.643,0.78,0.533,0.759,0.7,regional,0.0,0.577,0.529,100.0,108105.75,0.593,0.893,0.797,0.577,0.459,0.654,70.8,2.77,20.5,0.572,5.9,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_SG_ENABLE_#Frequentl,#FrequentlyAwkwardQuestions (FAQ),SG Enable,2024,AOY,Digital Excellence,Social Cause,2025-07-11T16:13:31.816214,0.677,1,0.948,2.0,1.0,1,Diversity,0.93,0.9,0.837,0.51,0.337,0.483,0.75,98.1,1.0,0.632,0.14,0.509,0.465,0.852,0.275,0.6,0.3,0.696,56.2,1.0,0.6,0.654,0.0,0.3,0.3,0.611,0.694,0.86,0.769,0.7,regional,0.0,0.775,0.659,44.0,22843.21,0.597,0.761,0.734,0.655,0.333,0.475,61.3,2.53,19.8,0.509,4.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_MCDONALD'S_McDonald's,McDonald's Lovin' All,McDonald's,2024,AOY,Digital Excellence,Food & Beverage,2025-07-11T16:13:31.816290,0.677,1,0.948,2.0,1.0,0,None,0.0,0.0,0.0,0.626,0.348,0.613,0.48,78.2,1.0,0.681,0.089,0.617,0.424,0.558,0.598,0.382,0.3,0.9,65.4,1.0,0.7,0.715,0.0,0.3,0.3,0.61,0.807,0.473,0.67,0.7,regional,0.0,0.54,0.69,32.0,64637.44,0.3,0.662,0.608,0.765,0.708,0.498,60.8,2.52,19.1,0.506,7.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_SPOTIFY_Real_Data_,Real Data Sightings,Spotify,2024,AOY,Digital Innovation,Technology,2025-07-11T16:13:31.816363,0.654,1,0.922,2.0,1.0,0,None,0.0,0.0,0.0,1.0,0.257,0.729,0.839,355.7,1.0,0.944,0.057,0.639,0.71,0.898,0.501,0.336,0.3,0.675,43.0,1.0,0.7,0.613,0.0,0.45,0.45,0.626,0.64,0.467,0.685,0.7,regional,0.0,0.543,0.32,94.0,47424.39,0.629,0.858,0.865,0.813,0.765,0.453,65.1,2.63,19.3,0.534,5.9,1.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_BAHAY_TULUYAN_Emoji_Frie,Emoji Friends,Bahay Tuluyan,2024,AOY,Digital Innovation,Non-profit,2025-07-11T16:13:31.816437,0.654,1,0.922,2.0,1.0,1,Community,0.85,0.88,0.748,0.56,0.205,0.326,0.376,252.6,1.0,0.889,0.064,0.725,0.444,0.803,0.515,0.71,0.3,0.74,58.2,1.0,0.6,0.754,0.0,0.3,0.3,0.835,0.844,0.769,0.716,0.7,regional,0.0,0.559,0.56,46.0,127233.44,0.384,0.516,0.637,0.714,0.449,0.656,59.5,2.49,19.5,0.497,8.3,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_OISHI_HOT_HIPON,HOT HIPON,Oishi,2020,Creative Impact Awards,Social & Influencer,Food & Beverage,2025-07-11T16:13:31.816513,0.364,1,0.8,2.0,5.0,0,None,0.0,0.0,0.0,0.752,0.682,0.672,0.691,28.8,1.0,0.664,0.086,0.521,0.839,0.847,0.413,0.642,0.3,0.82,44.4,1.0,0.6,0.692,0.0,0.3,0.3,0.652,0.78,0.737,0.8,0.85,local,1.0,0.424,0.772,62.0,38051.62,0.401,0.797,0.638,0.521,0.709,0.591,54.3,2.36,17.5,0.462,6.2,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
WARC_Decathlon_2024,The Breakaway: The first eCycling team for prisoners,Decathlon,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_001,149664_Decathlon_The_Breakaway_The_firs.pdf
WARC_Cadbury_2024,Shah Rukh Khan-My-Ad,Cadbury,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_002,154952_Cadbury_Shah_Rukh_KhanMyA.pdf
WARC_UCash/Shwapno_2024,Project AgroBanking,UCash/Shwapno,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,0.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_003,143438_UCash_Shwapno_Project_AgroBankin.pdf
WARC_KPN_2024,A Piece of Me,KPN,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_004,159467_KPN_A_Piece_of_M.pdf
WARC_Home_Centre_2024,A Dad's Job,Home Centre,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_005,143435_Home_Centre_A_Dads_Jo.pdf
WARC_Cadbury_2024,Not Just a Cadbury Ad 2.0,Cadbury,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_006,149667_Cadbury_Not_Just_a_Cadbury_Ad_.0.pdf
WARC_ANZ_2024,From dreaming big to knowing HOW,ANZ,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_007,159582_ANZ_From_dreaming_big_to_knowing.pdf
WARC_Jif_2024,The Lil Jif Project,Jif,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_008,149665_Jif_The_Lil_Jif_Projec.pdf
